sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method,id
1,INV-202301-00001,2023-01-10,2588,1274,2,234.79,469.58,pood,Tallinn,kaart,1
2,INV-202301-00002,2023-01-16,4338,1207,2,241.13,482.26,pood,Pärnu,järelmaks,2
3,INV-202301-00003,2023-01-05,4673,1264,1,258.46,221.19,pood,Pärnu,järelmaks,3
4,INV-202301-00004,2023-01-02,4677,1341,3,45.21,135.63,pood,Tartu,sularaha,4
5,INV-202301-00005,2023-01-13,2390,1284,1,99.57,99.57,pood,Tartu,kaart,5
6,INV-202301-00006,2023-01-28,4536,1338,1,282.29,282.29,pood,Tartu,järelmaks,6
7,INV-202301-00007,2023-01-13,2029,1001,4,157.49,629.96,pood,Tartu,järelmaks,7
8,INV-202301-00008,2023-01-23,4097,1100,2,126.42,252.84,online,,kaart,8
9,INV-202301-00009,2023-01-07,3308,1202,1,22.04,22.04,pood,Tallinn,sularaha,9
10,INV-202301-00010,2023-01-08,2809,1083,1,72.14,72.14,pood,Tallinn,sularaha,10
11,INV-202301-00011,2023-01-12,3837,1119,3,181.68,545.04,pood,Tallinn,sularaha,11
12,INV-202301-00012,2023-01-09,3432,1345,2,225.81,451.62,online,,järelmaks,12
13,INV-202301-00013,2023-01-18,2511,1072,1,80.64,95.39,pood,Tallinn,järelmaks,13
14,INV-202301-00014,2023-01-01,2755,1153,4,79.59,318.36,pood,Tallinn,sularaha,14
15,INV-202301-00015,2023-01-05,3076,1018,1,47.07,47.07,pood,Pärnu,kaart,15
16,INV-202301-00016,2023-01-11,3357,1050,1,145.72,145.72,pood,Tallinn,järelmaks,16
17,INV-202301-00017,2023-01-16,4219,1168,1,316.04,316.04,pood,Tartu,kaart,17
18,INV-202301-00018,2023-01-03,3990,1164,1,179.35,179.35,pood,Tartu,sularaha,18
19,INV-202301-00019,2023-01-23,3585,1106,3,47.88,143.64,online,,sularaha,19
20,INV-202301-00020,2023-01-06,2539,1042,2,347.84,695.68,pood,Tallinn,kaart,20
21,INV-202301-00021,2023-01-27,,1203,3,17.97,53.91,pood,Tallinn,sularaha,21
22,INV-202301-00022,2023-01-17,3342,1303,2,312.41,624.82,online,,kaart,22
23,INV-202301-00023,2023-01-06,4541,1045,2,176.65,353.30,online,,järelmaks,23
24,INV-202301-00024,2023-01-20,4740,1113,1,86.46,-86.46,online,,kaart,24
25,INV-202301-00025,2023-01-17,3475,1281,1,292.61,292.61,pood,Pärnu,järelmaks,25
26,INV-202301-00026,2023-01-11,4167,1012,1,160.21,160.21,pood,Tallinn,sularaha,26
27,INV-202301-00027,2023-01-19,4229,1088,1,100.57,100.57,pood,Tartu,järelmaks,27
28,INV-202301-00028,2023-01-28,3458,1148,1,48.85,48.85,pood,Pärnu,kaart,28
29,INV-202301-00029,2023-01-20,4924,1014,1,121.78,147.58,pood,Pärnu,järelmaks,29
30,INV-202301-00030,2023-01-21,3761,1206,1,22.70,22.70,pood,Tartu,sularaha,30
31,INV-202301-00031,2023-01-31,2120,1341,1,45.21,45.21,pood,Tartu,järelmaks,31
32,INV-202301-00032,2023-01-22,2423,1188,2,184.07,368.14,pood,Tallinn,järelmaks,32
33,INV-202301-00033,2023-01-08,2331,1084,2,156.13,312.26,pood,Tallinn,järelmaks,33
34,INV-202301-00034,2023-01-31,,1033,1,221.42,221.42,online,,kaart,34
35,INV-202301-00035,2023-01-04,2339,1347,2,246.97,493.94,pood,Tallinn,kaart,35
36,INV-202301-00036,2023-01-15,2285,1288,2,138.90,277.80,pood,Tallinn,kaart,36
37,INV-202301-00037,2023-01-23,4867,1155,1,209.05,209.05,online,,kaart,37
38,INV-202301-00038,2023-01-16,4145,1099,1,86.80,86.80,pood,Tartu,järelmaks,38
39,INV-202301-00039,2023-01-16,3629,1013,2,218.99,437.98,pood,Tallinn,kaart,39
40,INV-202301-00040,2023-01-29,4893,1243,2,184.02,368.04,online,,sularaha,40
41,INV-202301-00041,2023-01-07,4239,1305,4,50.77,203.08,pood,Tallinn,sularaha,41
42,INV-202301-00042,2023-01-22,,1260,2,130.36,260.72,pood,Tallinn,sularaha,42
43,INV-202301-00043,2023-01-19,2247,1064,1,95.87,95.87,pood,Tallinn,sularaha,43
44,INV-202301-00044,2023-01-26,4612,1060,1,253.26,253.26,online,,järelmaks,44
45,INV-202301-00045,2023-01-08,4150,1258,3,84.41,253.23,pood,Tartu,järelmaks,45
46,INV-202301-00046,2023-01-14,3648,1104,2,191.48,382.96,online,,sularaha,46
47,INV-202301-00047,2023-01-07,3457,1345,1,225.81,225.81,pood,Tallinn,sularaha,47
48,INV-202301-00048,2023-01-01,3514,1065,1,48.58,48.58,pood,Tallinn,järelmaks,48
49,INV-202301-00049,2023-01-12,4755,1221,1,350.19,350.19,online,,järelmaks,49
50,INV-202301-00050,2023-01-28,2025,1092,1,144.20,144.20,pood,Tallinn,sularaha,50
51,INV-202301-00051,2023-01-07,3493,1247,1,29.48,29.48,pood,Tallinn,sularaha,51
52,INV-202301-00052,2023-01-15,2574,1340,4,229.01,916.04,online,,kaart,52
53,INV-202301-00053,2023-01-02,2927,1238,2,72.73,145.46,pood,Tallinn,sularaha,53
54,INV-202301-00054,2023-01-06,3764,1153,1,79.59,79.59,online,,kaart,54
55,INV-202301-00055,2023-01-22,,1084,2,156.13,312.26,online,,järelmaks,55
56,INV-202301-00056,2023-01-28,4517,1333,1,218.54,218.54,pood,Tallinn,järelmaks,56
57,INV-202301-00057,2023-01-31,2317,1136,2,94.25,188.50,online,,sularaha,57
58,INV-202301-00058,2023-01-19,4206,1350,1,270.69,270.69,pood,Pärnu,kaart,58
59,INV-202301-00059,2023-01-14,4490,1228,5,160.71,803.55,pood,Tallinn,järelmaks,59
60,INV-202301-00060,2023-01-18,3633,1272,1,183.31,183.31,pood,Tartu,sularaha,60
61,INV-202301-00061,2023-01-10,3123,1055,1,65.60,65.60,online,,sularaha,61
62,INV-202301-00062,2023-01-16,3530,1350,1,270.69,270.69,online,,kaart,62
63,INV-202301-00063,2023-01-09,4542,1213,2,132.30,264.60,pood,Tartu,järelmaks,63
64,INV-202301-00064,2023-01-30,2638,1311,1,153.11,153.11,pood,Tallinn,järelmaks,64
65,INV-202301-00065,2023-01-14,2767,1275,1,62.82,62.82,pood,Tartu,järelmaks,65
66,INV-202301-00066,2023-01-03,2017,1189,1,58.49,58.49,pood,Tallinn,järelmaks,66
67,INV-202301-00067,2023-01-14,3163,1075,3,278.59,835.77,online,,järelmaks,67
68,INV-202301-00068,2023-01-22,3452,1002,1,274.78,274.78,online,,järelmaks,68
69,INV-202301-00069,2023-01-01,2230,1050,1,145.72,145.72,pood,Tartu,järelmaks,69
70,INV-202301-00070,2023-01-20,4255,1240,1,356.57,356.57,pood,Tallinn,kaart,70
